County Name ,State,Median Age ,PerCapita Income,Percent in Poverty,Population Density,Crime Index (Per capita)
Union,AR,34.5,17626,19.2,44.9,475
Van Buren,AR,43.2,12238,21.6,20,197
Washington,AR,30.8,16784,11.7,126.4,429
White,AR,33.1,13283,17.9,55,290
Woodruff,AR,34.3,14331,31.8,15.7,59
Yell,AR,35.6,14876,16.9,19.5,317
Apache,AZ,23.4,9805,40.8,5.6,73
Cochise,AZ,32.6,14288,21.9,16.3,343
Gila,AZ,38.8,13832,21.3,8.9,370
Graham,AZ,29.4,11037,26.1,6,241
Maricopa,AZ,32,19451,16,240.4,760
Mohave,AZ,40.7,14589,17.7,7.9,625
Navajo,AZ,26.5,10568,31.2,8.1,310
Pima,AZ,32.8,16747,19,75.3,854
Pinal,AZ,32.6,12724,25.7,22.4,563
Santa Cruz,AZ,29.5,12100,27.4,26.2,600
Yavapai,AZ,42.4,15378,15,14.3,337
Yuma,AZ,30.5,13091,28,21.5,63
Alameda,CA,32.7,23707,12.3,1774.1,837
Amador,CA,37.9,16612,9.5,53.8,243
Butte,CA,33.8,16197,19,115.5,538
Calaveras,CA,39.5,16325,11.5,34.6,351
Colusa,CA,32.1,19360,17.4,14.7,389
Contra Costa,CA,34.1,27158,9,1166,606
Del Norte,CA,32.3,12792,19.9,26.4,371
El Dorado,CA,35.3,20424,8.5,80.3,379
Fresno ,CA,29.3,16854,28.1,118.4,910
Glenn,CA,32.6,14674,19.5,19.4,380
Humboldt,CA,33.1,16831,17.3,34.1,534
Imperial,CA,28.8,13987,28.6,30.8,690
Inyo,CA,39,18100,12.8,1.8,322
Kern,CA,29.7,15963,21.8,72.2,648
Kings,CA,28.1,13191,22.5,76.9,437
Lassen,CA,31.9,14409,15.6,6.1,221
Los Angels,CA,30.7,21577,23.8,2233.5,762
Madera,CA,31.9,15024,20.9,46.2,521
Marin,CA,38.1,37387,6.4,449.2,398
Mendocino,CA,35.6,17246,16.8,23.3,471
Merced,CA,27.9,14962,24.5,98.1,509
Modoc,CA,37.2,14472,18.2,2.5,231
Monterey,CA,29.6,21143,16.1,111,533
Napa,CA,36.4,24461,9.2,150.9,480
Nevada,CA,39.3,18855,9.5,87,334
Orange,CA,31.4,24996,12.6,3147.8,571
Placer,CA,35.1,22748,8.5,133.2,463
Plumas,CA,39,17503,11.5,8.1,559
Riverside,CA,31.5,17969,15,179,738
Sacramento,CA,31.9,20397,16.3,1130.3,763
San Benito,CA,30.3,17122,12.9,27.7,428
San Bernardino,CA,29.3,16388,17.5,76.4,691
San Diego,CA,30.9,20689,16.3,618.8,660
San Franciso,CA,35.8,31918,13.5,15621,1082
San Joaquin,CA,30.9,17138,18.8,360.2,815
San Luis,CA,33.1,18261,12.7,66.8,383
San Mateo,CA,34.8,30531,6.9,1476.7,447
Santa Barbara,CA,31.6,23680,14.5,137.5,503
Santa Clara,CA,31.9,26772,9.2,1183.1,489
Santa Cruz,CA,33,23076,13.8,519.2,608
Shasta,CA,34.9,17292,15.9,41.6,469
Siskiyou,CA,37.3,15864,16.6,7,403
Solano,CA,30.8,18901,9.7,435.3,628
Sonoma,CA,34.8,22928,10.4,255.4,490
Stanislaus,CA,30.5,16787,17.2,264.4,668
Sutter,CA,32.4,18574,15.6,115.1,539
Tehama,CA,36,14062,18.2,17.6,517
Tulare,CA,29.2,15342,28.2,68.7,632
Tuolumne,CA,37.2,16919,12,22.6,387
Ventura,CA,31.7,21837,11.1,372,439
Yolo,CA,28.9,19586,16.6,143.2,712
Yuba,CA,29.2,13956,21.1,96.3,622
Adams,CO,30.7,16715,12.9,235.1,692
Alamosa,CO,28.1,13935,24,19.2,650
Arapahoe,CO,32.4,24963,6.7,523.7,654
Bent,CO,39.1,16563,20,3.3,226
Boulder,CO,31.6,23661,8.3,320.5,563
Chaffee,CO,37.1,14582,14.1,12.7,391
Cheyenne,CO,32,22942,9.9,1.4,144
Crowley,CO,34.2,12074,30.9,5.1,20
Delta,CO,40.7,14386,17.4,19.3,270
Denver,CO,33.9,24184,18,3162.4,861
Douglas,CO,32.3,26345,2.8,87,233
Elbert,CO,33.8,19050,6.1,5.8,144
El Paso,CO,30.2,18342,12.1,197.8,562
Fremont,CO,37.7,13374,17.4,21.5,373
Garfield,CO,32.8,17552,10.4,10.6,403
Gunnison,CO,28.2,15395,12.2,3.3,866
Huerfano,CO,39.6,13464,24.9,3.7,332
Jefferson,CO,33.3,22563,6.2,589.1,494
Kiowa,CO,37,25714,11.5,0.9,69
Kit Carson,CO,34.9,20128,12.8,3.3,300
La Plata,CO,31.9,17714,12.4,20.4,502
Larimer,CO,31.1,18404,10.8,76.2,180
Las Animas,CO,37.7,13208,24.8,2.9,393
Lincoln,CO,36.9,21016,16.2,1.8,187
Logan,CO,34.7,17526,14.8,9.4,444
Mesa,CO,34.7,16917,14.2,29.5,547
Moffat,CO,31.8,17826,11.7,2.4,389
Montezuma,CO,33.3,15127,17.1,9.6,488
Montrose,CO,37.1,15909,12.7,11.4,404
Morgan,CO,33.1,18110,15.5,17.7,436
Otero,CO,34.9,15185,24.4,15.9,416
Phillips,CO,38.5,18999,11,6,66
Prowers,CO,32,15730,21.3,8,577
Pueblo,CO,34.7,15582,20.7,51.8,651
Rio Blanco,CO,32.3,17470,9.4,1.9,334
Rio Grande,CO,33.7,15286,23,11.7,328
Routt,CO,32.4,22654,6.5,6.4,374
Sedgwick,CO,40.8,18661,12,4.7,104
Teller,CO,34.6,19068,9.3,24.8,374
Washington,CO,37.3,19003,13,1.8,87
Weld,CO,30.5,16466,15.3,34.1,565
Yuma,CO,35.8,19370,12,3.8,224
Fairfield,CT,35.5,36257,7.7,1322.7,512
Hartford,CT,34.5,26063,11.2,1151.5,595
Litchfield,CT,35.7,24501,5.5,192.1,175
Middlesex,CT,34.8,25217,5.2,392.1,232
New Haven,CT,34.2,23651,11,1323.9,618
New London,CT,32.5,22301,8.3,372.2,263
Tolland,CT,31.5,20956,5.1,316.5,114
Windham,CT,32.7,19510,9.6,201.2,133
Kent,DE,31.1,16094,13,196.4,390
New Castle,DE,32.5,23628,9.9,1065.9,425
Sussex,DE,36.4,17484,13.9,127.3,233
Alachua,FL,28.3,17520,20.2,216.1,1082
Baker,FL,30.2,13593,19.4,33,372
Bay,FL,33.2,16424,16.3,174.7,740
Bradford,FL,33.6,12438,21.6,78.4,759
Brevard,FL,36.2,18715,11.6,417.5,668
Broward,FL,37.7,22929,12.3,1084.5,853
Calhoun,FL,33.5,11330,22.3,20.1,77
Charlotte,FL,53.6,17584,10,173.6,366
Citrus,FL,50.8,14941,15.5,171.5,276
Clay,FL,32,17407,8.8,189.5,487
Collier,FL,40.7,28557,13.1,81.6,571
Columbia,FL,33.6,14089,20.4,55.7,728
Dade,FL,34.2,16751,25.4,1031.5,1195
De Soto,FL,36.6,15201,25,38.1,579
Duval,FL,31.5,18857,15.4,903,1033
Escambia,FL,32.4,16345,20.3,407.2,741
Flagler,FL,46.4,14689,10.9,69.3,372
Franklin,FL,38.9,13963,21.1,17.2,242
Gadsden,FL,31.8,13185,29.2,81.8,511
Gilchrist,FL,33.5,12536,17.8,29.8,139
Gulf,FL,35.7,13797,19.3,20.7,214
Hamilton,FL,30.9,12066,24.3,21.8,19
Hardee,FL,32.8,15621,27,31.5,556
Hendry,FL,30.3,17157,22.9,24,465
Hernando,FL,49.5,14930,13.9,229.6,476
Highlands,FL,51.5,16275,16.9,69.2,639
Hillsborough,FL,33,18401,17,814.9,1043
Holmes,FL,35.6,11892,24.6,33.8,120
Indian River,FL,44,26637,11.5,186.2,585
Jackson,FL,34.3,14271,20.9,46.4,217
Jefferson,FL,33.8,14175,22.9,19.6,492
Lake,FL,44.7,17326,14.1,170.3,452
Lee,FL,42,20349,12.3,439.4,626
Leon,FL,28.8,17976,14.9,303.8,1206
Levy,FL,38.5,12847,19.2,24.2,445
Madison,FL,32.3,12325,23.8,24.1,311
Manatee,FL,43.1,20904,12.9,295.3,848
Marion,FL,40,15633,18.4,131.5,663
Martin,FL,44.5,29881,10.8,188.8,556
Monroe,FL,38.8,22453,11.5,80.1,957
Nassau,FL,33.4,19059,11.9,72,425
Okaloosa,FL,31.5,17767,11.2,163.4,371
Okeechobee,FL,34.3,13683,21.8,39.3,482
Orange,FL,31.5,18920,14.7,785,887
Osceola,FL,33.7,15266,14,90.1,801
Palm Beach,FL,39.9,31407,12.3,460.4,901
Pasco,FL,48,15427,14.6,385.5,447
Pinellas,FL,42.1,21721,12.8,3081.4,734
Polk,FL,36.5,16280,17.9,223.5,892
Putnam,FL,37.3,13281,24.3,92.5,848
St. Johns,FL,37,23965,11.8,148.3,683
St. Lucie,FL,37.9,15425,15.9,281.7,643
Santa Rosa,FL,32.5,16150,12.6,88.7,393
Sarasota,FL,49,27785,9.9,498.6,692
Seminole,FL,33.3,19694,9.9,1004.2,592
Sumter,FL,40.1,13285,21.7,59.4,407
Suwannee,FL,36.5,13975,19.3,41,318
Taylor,FL,33.5,13963,20.6,16.6,354
Volusia,FL,39.4,16388,15.4,352.3,608
Wakulla,FL,34.2,14183,15.4,25.4,227
Walton,FL,37.8,13562,18.7,27.9,212
Washington,FL,37.3,12870,21.2,30,94
Appling,GA,32.3,12725,21.2,31.4,200
Bacon,GA,31.7,13056,24.2,34.4,204
Baldwin,GA,31.9,16195,19.1,156.3,409
Barrow,GA,31.1,14985,15.2,197.9,385
Bartow,GA,31.5,15193,13,129.2,286
Ben Hills,GA,32.4,14482,23.7,65.9,536
Berrien,GA,32.9,14452,19.9,31.8,254
Bibb,GA,32.6,18657,23.5,608.8,867
Bleckley,GA,32.6,15466,17.4,48.8,141
Brooks,GA,32.1,13093,29.8,31.2,326
Bulloch,GA,26.1,13214,22.4,66.5,392
Burke,GA,29.6,12699,29.2,25.3,324
Butts,GA,32.4,14173,18.7,84.1,276
Calhoun,GA,33.5,15112,29.2,17.5,253
Camden,GA,27.2,12197,11.2,59.7,289
Candler,GA,34.6,15555,25.5,32.4,54
Carroll,GA,30.4,14798,16,148,461
Catoosa,GA,33.9,13415,12.6,273.1,308
Charlton,GA,30.4,11564,21.3,11.3,66
Chatham,GA,32.2,19023,20,504.1,816
Chattooga,GA,34.8,14066,15,71.4,157
Cherokee,GA,31.1,17175,7.5,240.7,223
Clarke,GA,25.6,16223,22.3,731,1007
Clay,GA,34.2,12350,35.4,17.4,206
Clayton,GA,29.9,16855,14,1318.4,804
Clinch,GA,31.6,12584,25,7.7,226
Cobb,GA,31.7,23195,8.2,1402.1,564
Coffee,GA,30.5,15271,23.1,51.2,777
Colquitt,GA,32.6,14892,25.8,67,638
Columbia,GA,31.2,17165,7.7,251,315
Cook,GA,32.4,12865,22.5,58.9,482
Coweta,GA,32,17069,12.6,136.3,347
Crawford,GA,31.7,12882,16.7,28.3,180
Crisp,GA,32.8,14794,30.4,74.1,138
Dade,GA,32.7,12299,16.3,76.5,180
Decatur,GA,31.7,14744,26.9,43.4,497
De Kalb,GA,31.9,22075,16.3,2094.7,1061
Dodge,GA,33.8,13028,23.2,35.4,366
Dooly,GA,32.8,14815,29,25.4,164
Dougherty,GA,29.9,15650,27.6,296.3,1043
Douglas,GA,31.1,16590,9.5,377.3,339
Early,GA,33.4,14237,32,23.7,109
Effingham,GA,30.3,14646,12.7,57.1,242
Elbert,GA,34.4,14526,21.4,51.5,442
Emanuel,GA,32.3,12667,28.4,30.2,290
Evans,GA,32.2,14679,25.6,48.1,116
Fannin,GA,39,12626,17.6,43,202
Fayette,GA,34.1,22708,3.9,352.6,176
Floyd,GA,34.5,17463,16.2,160.1,575
Forsyth,GA,32.8,20194,7.9,220.5,469
